prompt,model,dice,iou
bbox,base,0.5136483431107489,0.4223499462355802
bbox,fine_tuned,0.9529808830918168,0.9118083334981738
point 2x2,base,0.11904319765441591,0.06536729825656182
point 2x2,fine_tuned,0.9442057579628659,0.8992475234381796
point 4x4,base,0.1335096597793232,0.07410441470769165
point 4x4,fine_tuned,0.9406219143870456,0.8911567684937381
point 8x8,base,0.14680314334599498,0.08244655011182712
point 8x8,fine_tuned,0.9229599320064125,0.8639937963370646
