index,dice,iou,precision,recall,accuracy
0,0.963791883721806,0.9301142005946746,0.9644741923015002,0.9631105398445204,0.9914093017576613
1,0.9733389758760616,0.9480626545715249,0.9519867549629472,0.9956709956666855,0.9980773925779728
2,0.9489927132406816,0.9029363784591931,0.9156327543348584,0.9848754448310955,0.9981842041014102
3,0.9747526290096398,0.9507487232745168,0.9870596693017729,0.9627487071601694,0.9913177490232863
4,0.9774555659490283,0.9559052236749099,0.9719999999990957,0.9829727187196773,0.9926452636717236
5,0.9677419354821463,0.9374999999967628,0.9583480409426108,0.9773218142513416,0.9972381591795354
6,0.9678297451113984,0.9376648285760305,0.9614060963594853,0.9743398106602533,0.996032714843598
7,0.9592911877371665,0.9217671421954821,0.9547187797857258,0.9639076034602315,0.9974060058592229
8,0.9574250182868216,0.9183272523128871,0.935124321231966,0.9808153477188825,0.9955596923826606
9,0.9807949977654,0.9623137598569609,0.9742679680539064,0.9874100719394863,0.9980316162107853
10,0.9741597703074242,0.9496213368424444,0.9499341238440384,0.9996533795459285,0.9976654052732853
11,0.965032625061126,0.9324280633658829,0.9327296248352758,0.9996533795459285,0.9968109130857854
12,0.9663256318172191,0.9348453067633261,0.9626079913593918,0.9700720990328254,0.9924163818357861
13,0.9373284537947454,0.8820490744688677,0.9196588868899477,0.9556902985030052,0.9958190917967231
14,0.9312227074210393,0.871297242079309,0.9291938997770741,0.93326039386798,0.996154785156098
15,0.974609519578818,0.9504764654909753,0.9682306221488921,0.9810730253338583,0.9947662353514107
16,0.9443939852649668,0.8946462715088057,0.9261678543132895,0.9633518632881134,0.9915924072264113
17,0.947465437786272,0.9001751313453584,0.9420821114334968,0.9529106414499336,0.9956512451170356
18,0.9536953858710054,0.9114892288465322,0.9542408890325964,0.9531505060382743,0.9913482666014113
19,0.9599999999987925,0.9230769230746902,0.9857917850659111,0.9355234125988342,0.9951477050779732
20,0.9430740037905927,0.8922800718052758,0.9061075660810748,0.9831849653710862,0.9981689453123478
21,0.9559888579333928,0.915688367119363,0.944933920694439,0.9673055242281026,0.9987945556639102
22,0.9441052137109248,0.8941281138710487,0.8989266547325678,0.9940652818892773,0.9981842041014102
23,0.9714789767686813,0.9445397369871668,0.9856801909249066,0.9576811594147382,0.9985198974607852
24,0.9767035527053678,0.9544678429086257,0.9812755997602033,0.9721739130378425,0.9987792968748477
25,0.963635233417689,0.929822456812704,0.9604708798005447,0.9668205064226434,0.9910736083982863
26,0.9687499999978977,0.9393939393899857,0.9417721518947605,0.9973190348480907,0.9978027343748478
27,0.9662215239553565,0.9346504559199496,0.9579439252261843,0.9746434231301535,0.9986877441404727
28,0.9818331203208956,0.9643145342051785,0.9751564058382671,0.9886018935554842,0.9939270019529733
29,0.9585553581996454,0.9204093234783775,0.9367405978775922,0.9814103859355612,0.9871826171873495
30,0.9850528618283174,0.9705459770080082,0.9807622504501606,0.9893811790516683,0.9987487792967227
31,0.9707401032691098,0.9431438127069273,0.9559322033876703,0.9860139860116877,0.9961090087889105
32,0.971014492751491,0.9436619718269583,0.9554883318886972,0.9870535714241649,0.9979858398435978
33,0.969015795867301,0.9398939304627582,0.9968749999968848,0.9426713947962687,0.9968872070310979
34,0.9762334536688083,0.9535703790744826,0.9941789215655816,0.958924349878963,0.9975891113279728
35,0.9835543766560857,0.967640918577009,0.9953471725089644,0.9720377490354001,0.9985809326170352
36,0.9867225716265082,0.973793103444918,0.9863779252497856,0.9870674589269939,0.9988403320310977
37,0.9589195272877945,0.9210810810711234,0.9362637362534476,0.9826989619263817,0.9988861083982852
38,0.9493246305856682,0.9035375323539198,0.9881109643310283,0.9134682484282738,0.9914703369139113
39,0.48428508189249986,0.31950934579252627,0.33496631965502166,0.8738019169189488,0.9822235107420376
40,0.9650202339370447,0.9324049276904848,0.9667888481606499,0.9632580787948612,0.9903717041014114
41,0.9617936177420164,0.926399253730479,0.9654870698026778,0.9581283164486655,0.9879608154295368
42,0.7756607252564496,0.6335341365398239,0.9225146198695539,0.6691410392293834,0.9944305419920358
43,0.9587167754866286,0.9207070208344813,0.9713511824138229,0.9464068209491002,0.9877471923826618
44,0.9623868778276007,0.9275006813837308,0.9961943793901286,0.9307986870888668,0.9878234863279743
45,0.9230299638800818,0.8570618800180849,0.9167340339521859,0.9294129699816315,0.9769134521482885
46,0.9330998248653832,0.8745896257329312,0.9999999999924926,0.8745896257329312,0.9970855712889104
47,0.9740720014904419,0.949454545451093,0.9984703632849007,0.9508375819339009,0.9978790283201603
48,0.9749855527111574,0.9511920103077461,0.9849874895730025,0.9651847008810638,0.9953765869139106
49,0.9511256269672796,0.9068060498200472,0.95234758233835,0.949906803352866,0.993606567382661
50,0.9532937775742025,0.9107558139521647,0.9601593625483296,0.9465256797568784,0.9906311035154739
51,0.9407134071317572,0.8880631676688897,0.99999999999477,0.8880631676688897,0.9963226318357855
52,0.9429925110798234,0.8921341816065759,0.9995140126340524,0.8925213366108888,0.9886169433592242
53,0.9784615384598659,0.9578313252979993,0.9814814814781156,0.9754601226960619,0.9980773925779728
54,0.9479316731828071,0.9010172143957336,0.949299258035966,0.9465680230149064,0.9922790527342237
55,0.948107188429951,0.9013344116448632,0.9344932397013578,0.9621236646153424,0.9851074218748497
56,0.9575518262539114,0.9185606060519077,0.9417475728063909,0.9738955823195392,0.9986877441404727
57,0.962233169128843,0.9272151898717876,0.9456697148987885,0.9793871866277077,0.9936828613279735
58,0.9578331794383537,0.9190785587686974,0.9370671484464407,0.9795404469594601,0.9958190917967231
59,0.9499550494441865,0.9046803652942218,0.9279859484750352,0.9729895641467987,0.9949035644529732
60,0.9684527951740101,0.9388351697752668,0.9549405306474041,0.9823529411741592,0.9958496093748481
61,0.9690490430614764,0.9399564902089341,0.9664479570519439,0.9716641679145852,0.9936828613279735
62,0.9726477024061153,0.9467518636830906,0.9526701196625242,0.9934810951741601,0.9954223632810981
63,0.9582322824010827,0.9198137609885163,0.9502939604438788,0.9663043478208354,0.9976348876951603
64,0.9577200125244043,0.9188701923021703,0.9340256566833597,0.9826478149037106,0.9979400634764103
65,0.9777131782929946,0.956398104262381,0.9692603266059262,0.9863147605050951,0.9978942871092228
66,0.9753052917205555,0.9518008474525859,0.9739837398321194,0.9766304347773009,0.9986114501951602
67,0.9659949622135832,0.9342265529784761,0.9469135802410685,0.9858611825129444,0.9983520507810977
68,0.9492511269435084,0.9034043730946488,0.917369308597759,0.9834287435945062,0.9946746826170357
69,0.9486209759238551,0.9022635550080677,0.9532814238024596,0.9440058747917313,0.9915008544920363
70,0.9562798092190853,0.9162223914664273,0.9709443099234426,0.9420516836298276,0.996643066406098
71,0.951438177063285,0.9073744210890542,0.9515566625143816,0.9513197211143535,0.9880981445310992
72,0.9709237803520349,0.9434906392882896,0.9566967019499985,0.9855803893285998,0.9900054931639115
73,0.9313517338929134,0.8715231787964036,0.8879892037666938,0.9791666666520957,0.9985198974607852
74,0.9384233233090098,0.883990147781074,0.9240473738390216,0.9532536520559011,0.9928131103514111
75,0.9598433844239317,0.9227873668739232,0.955418250949662,0.9643096997016556,0.987167358398287
76,0.9585270596981225,0.9203571428560471,0.9517419672523061,0.9654095904083849,0.9897918701170365
77,0.959546844452875,0.9222393524755036,0.9603652418212317,0.9587298407282793,0.9876861572264118
78,0.9707925349393498,0.943242803706386,0.969251336896776,0.9723386420771629,0.9946746826170357
79,0.9539139599497203,0.9118886242893277,0.9336959579846819,0.9750269317393251,0.9853210449217247
80,0.9483447488579964,0.9017639077332412,0.929597165235985,0.9678640776689632,0.983428955077975
81,0.9136261111836094,0.8409868099637494,0.8499136015777589,0.9876649454934376,0.9900665283201615
82,0.9443186962405064,0.8945111492242946,0.9961795606447175,0.897590361441921,0.996246337890473
83,0.9418542883990757,0.8900988569656394,0.9194256082960355,0.9654045903828401,0.9782867431639133
84,0.9355572896342387,0.8789174659411821,0.912243992136889,0.9600934267594526,0.9697570800779771
85,0.9459125710040184,0.8973758200541299,0.9625534053758167,0.9298373391577329,0.9933166503904735
86,0.957091775918015,0.9177142857037975,0.9424882628997361,0.972154963668618,0.9989013671873477
87,0.951341307628671,0.9071982281264515,0.9915274751852057,0.9142857142836734,0.993606567382661
88,0.9643198470835229,0.9310981236513962,0.9882468168430029,0.9415241057513484,0.996582031249848
89,0.9657870512419716,0.9338377095372589,0.9862133792871907,0.9461896888607453,0.9931945800779735
90,0.9537041442637133,0.9115052296490117,0.974334046275545,0.9339297362772024,0.9851531982420372
91,0.9694380545498367,0.9406887755072044,0.9534583063964013,0.9859625668416245,0.9971618652342229
92,0.9510170195081963,0.9066086268266458,0.9565762004135425,0.9455220800621316,0.996398925781098
93,0.960713290607521,0.9243967828368665,0.9789892106701932,0.9431072210014054,0.9978485107420353
94,0.9674740484362113,0.9369973190222922,0.9395161290196301,0.9971469329386997,0.9992828369139101
95,0.9656593406582352,0.9335989375809349,0.9716655148560892,0.9597269624551542,0.9954223632810981
96,0.9473233404690635,0.8999186330313267,0.9999999999954793,0.8999186330313267,0.996246337890473
97,0.9392735527782654,0.8855002675180017,0.924581005581427,0.9544405997638152,0.9967346191404729
98,0.9446366781979681,0.8950819672082236,0.9446366781952443,0.9446366781952443,0.9970703124998479
99,0.9699819168138518,0.9417134831394544,0.9483734087627415,0.9925980754922828,0.9987335205076602
100,0.9625096957675062,0.9277288586128465,0.9422882213956425,0.9836181081539834,0.993362426757661
101,0.8786237655276247,0.7835227272682754,0.8434250764474409,0.9168882978662442,0.9941864013670358
102,0.9719080627503143,0.9453513129869762,0.9617328519845675,0.9823008849547172,0.9917755126951612
103,0.9651892890115581,0.9327206210395889,0.9666173478814808,0.9637654434805791,0.9884948730467242
104,0.949246629655237,0.9033962264082763,0.9257540603176663,0.9739625711881696,0.9980468749998478
105,0.9610174749245367,0.9249601910818819,0.9830759466881921,0.9399271844650687,0.9884948730467242
106,0.9678714859433011,0.9377431906605885,0.9720609936045528,0.9637179362128511,0.989990234374849
107,0.9559016154849095,0.9155282966258567,0.9333964945514605,0.9795187910111557,0.9861297607420371
108,0.9568552253070142,0.9172794117562751,0.9172794117562751,0.9999999999899799,0.9986267089842227
109,0.971453101521847,0.9444908180261081,0.9544495993211538,0.9890734265691038,0.9979705810545353
110,0.9757515362888425,0.9526512080412638,0.9691520950165471,0.9824414715702635,0.9955444335935981
111,0.9642894325861902,0.9310414153579996,0.9387796472715614,0.9912243150663715,0.9947662353514107
112,0.9710224166204408,0.9436769394248888,0.9728841413298098,0.9691678035457447,0.9935302734373485
113,0.9499148211211247,0.9046073977877703,0.9081433224696539,0.9957142857071736,0.9977569580076603
114,0.9645904436853209,0.9316028018116583,0.9758308157085659,0.953606073385416,0.9924011230467236
115,0.9767898005868311,0.9546325878563751,0.9701298701267204,0.9835418038150641,0.9978332519529728
116,0.9585758301943181,0.9204470742917152,0.9291521486628022,0.9899239879777445,0.9926147460935986
117,0.9634118764411544,0.9294066317618417,0.9624107707590471,0.9644150670038352,0.9876556396482868
118,0.9563437926264916,0.9163398692690674,0.9334221038490889,0.9804195804058683,0.9990234374998476
119,0.9602160216012958,0.92347645429203,0.9491103202830087,0.9715846994517822,0.9932556152342235
120,0.9749603803471079,0.9511440939982958,0.9840051183589763,0.9660804020070161,0.9975891113279728
121,0.961788488978973,0.9263897373215444,0.9876261803940488,0.9372682323827649,0.9963226318357855
122,0.9078246620200418,0.831207801944252,0.8629283489029368,0.9576490924722763,0.9965667724607855
123,0.9603592046171131,0.9237413622879473,0.984999999997408,0.9369211514369539,0.9952850341795356
124,0.9781820985267302,0.9572959106670329,0.9790123456775015,0.9773532583562204,0.9956817626951606
125,0.9761388286324431,0.9533898305066383,0.9753694581261569,0.9769094138524237,0.996307373046723
126,0.9412423055347441,0.8890063424853171,0.9121475054131003,0.9722543352488756,0.9983978271482852
