index,dice,iou,precision,recall,accuracy
0,0.9677042801550144,0.9374293252909444,0.976570680626994,0.95899742930468,0.9924011230467236
1,0.9791890152306819,0.9592265657799108,0.9706507868950632,0.9878787878745114,0.9985198974607852
2,0.9415279556084443,0.8895161290250846,0.904840032806359,0.9813167259699173,0.9979095458982853
3,0.9706183958263985,0.942914067913251,0.9877495462785955,0.954071347181213,0.9899444580076615
4,0.9759615384610784,0.9530516431916108,0.9779897978452881,0.9739416745051985,0.9922180175779737
5,0.9651245551584251,0.9325997248936293,0.9542575650916458,0.9762419006444341,0.9970092773435979
6,0.9641266699641711,0.9307379985647701,0.957493857491505,0.9708520179348011,0.9955749511717231
7,0.9477539062476862,0.9006960556802752,0.9618434093113883,0.9340712223246677,0.9967346191404729
8,0.9518529325927169,0.9081291759440198,0.9272313814641068,0.9778177458004262,0.9949645996092232
9,0.9826347305374512,0.9658622719218192,0.9814593301406057,0.9838129496373387,0.9982299804685977
10,0.9753128170426525,0.9518151815150105,0.9521294156455856,0.9996533795459285,0.9977722167967228
11,0.9712072739502084,0.944026186576288,0.9443352979667835,0.9996533795459285,0.9973907470701604
12,0.9682419919055022,0.9384390373608051,0.976480354176845,0.9601414773487142,0.9929351806639111
13,0.8341843590410262,0.7155371138740639,0.9841471147686485,0.723880597011549,0.9905853271482864
14,0.9338035811152094,0.875826972005721,0.9262648008561558,0.9414660831458345,0.996276855468598
15,0.9688902183660119,0.9396576733377725,0.972380666465067,0.9654247391937922,0.9936523437498485
16,0.9430528575800602,0.8922422131923152,0.9366368805829882,0.9495573399198074,0.9915008544920363
17,0.9258984809171436,0.8620213866820904,0.9252128841135683,0.9265850945460639,0.9938964843748483
18,0.9596068959765472,0.922350304193208,0.979595306918926,0.9404178909550434,0.9925994873045361
19,0.9550989345497779,0.9140568099030977,0.9894875164231551,0.9230203481222775,0.9945983886717232
20,0.9259088817260658,0.8620394173019534,0.8657487091147527,0.9950544015727492,0.9975433349607853
21,0.9388429752014389,0.8847352024830245,0.9181034482659687,0.9605411499328012,0.9983062744139102
22,0.928110599074064,0.8658641444465532,0.868852459008897,0.9960435212562211,0.9976196289060978
23,0.9632945389407243,0.9291882556077767,0.9926199261931574,0.9356521739076195,0.9981231689451603
24,0.9728453364788288,0.947126436776166,0.9909801563379977,0.9553623188350414,0.9985961914060977
25,0.963195578444314,0.9290041192138004,0.9700189753308412,0.9564675065473912,0.9910583496092238
26,0.9620644022916585,0.9269018274503744,0.9499128919819255,0.9745308310948413,0.9973754882810979
27,0.9621537260984699,0.927067669165962,0.9477325134439069,0.9770206022109588,0.9985198974607852
28,0.9810750126009342,0.9628530311198391,0.9781615497067084,0.9840058828927437,0.993698120117036
29,0.964454262475668,0.9313487830884016,0.9585828343303806,0.9703980602132042,0.9891967773435991
30,0.9829710144909729,0.9665122906983737,0.9727500896343753,0.9934090076858535,0.9985656738279727
31,0.9699196326050861,0.9415960766809148,0.955656108595123,0.9846153846130895,0.996002197265473
32,0.9720248667829218,0.9455723542075786,0.966872791515164,0.9772321428527803,0.9980773925779728
33,0.9688023131928644,0.9394923258531892,0.9987449011578327,0.9406028368766531,0.9968719482420354
34,0.9720958447058354,0.945706698138254,0.9984423675981358,0.9471040189097308,0.9971923828123479
35,0.9848163841790523,0.970086956518365,0.9950053514056547,0.9748339741315106,0.9986877441404727
36,0.9832658094046446,0.9670824670791162,0.9911221590873895,0.9755330304055382,0.9985504150389102
37,0.8486720197600454,0.7371244635114043,0.9135638297750855,0.7923875432434557,0.9962615966795355
38,0.9356231058858153,0.8790336496964987,0.9877835951115227,0.8886950453578355,0.9893035888670366
39,0.4460367218967934,0.2870317002865301,0.30989421281698887,0.7955271565368126,0.9811248779295378
40,0.9633995733687193,0.929383732263696,0.9775575301879954,0.9496458609993916,0.990051269531099
41,0.9610782829511348,0.9250728588879147,0.9731012658218224,0.9493487698977815,0.9878387451170368
42,0.49119999999607045,0.3255567338247555,0.9999999999674267,0.3255567338247555,0.9902954101560989
43,0.9598378968145893,0.9227772227763008,0.9831825439052866,0.937576126673835,0.9882049560545367
44,0.9551912568301472,0.9142259414217625,0.997419867022926,0.9163931436899011,0.9856109619139122
45,0.9211050400853183,0.8537485800824935,0.918244756667768,0.9239831984418359,0.9764251708982885
46,0.8082942096994981,0.6782665791157041,0.9999999999903195,0.6782665791157041,0.9925231933592236
47,0.9694470477957461,0.9407057111642754,0.9988412514445777,0.9417334304408531,0.9975128173826603
48,0.9730133687611284,0.9474450194033839,0.9888607594920019,0.9576659038885948,0.9950408935545357
