index,dice,iou,precision,recall,accuracy
0,0.21446038589296568,0.12010956474926454,0.12047963154131336,0.9750642673509318,0.1520233154296643
1,0.01667603522577967,0.008408124704769579,0.008650014578674856,0.23116883116783044,0.03906249999999404
2,0.03296636825549949,0.01675943294689001,0.01676819888006634,0.9697508896710877,0.024230957031246305
3,0.06186845204884046,0.03192169907880759,0.03757883836956838,0.17494960119188802,0.07635498046873836
4,0.2288453350547008,0.12920686125498168,0.13398414255614693,0.7837253057377387,0.14326477050779066
5,0.0002198216304484016,0.00010992289693941523,0.00011492365785583404,0.0025197984161176392,0.028411865234370667
6,0.11716752618736327,0.06222939524200217,0.06223325832233069,0.9990034877902367,0.0779266357421756
7,0.029571458094570506,0.015007627765061975,0.01538642006686047,0.3787295476401409,0.2118377685546552
8,0.09841433734049733,0.051753828014698994,0.051753828014698994,0.9999999999970024,0.06733703613280223
9,0.1076129032257891,0.056866221191862666,0.056866221191862666,0.9999999999970024,0.15576171874997624
10,0.08470712804598822,0.04422672338333755,0.044230119482746535,0.998266897743507,0.050308227539054826
11,0.07361104483783086,0.03821193255940053,0.038575667655779924,0.8020797227008594,0.11128234863279553
12,0.2017706758799105,0.11220519717563888,0.11282480600184938,0.9533396816746655,0.15391540527341402
13,0.05982144205929879,0.030832957005149597,0.030911901081911712,0.9235074626822598,0.05033874511717982
14,0.05381206070644315,0.02764998159734578,0.027660586349197238,0.9863238511981055,0.03251647949218254
15,0.05908560191727723,0.030442147255769374,0.03293823438730552,0.2865871833080677,0.06546020507811501
16,0.1396058121133449,0.0750409848742499,0.07504678823873988,0.9989705579555302,0.08743286132811166
17,0.07387894035813618,0.03835633279035585,0.03847517457184985,0.9254727474937877,0.04513549804686812
18,0.15047237331804317,0.08135719150515737,0.08246775661341162,0.8579823702238688,0.0944213867187356
19,0.11974005351837567,0.06368271245815525,0.06368968483615177,0.9982838931086093,0.08645629882811182
20,0.030706150341680987,0.01559246749641179,0.01559246749641179,0.9999999999901088,0.026062011718746024
21,0.02824525928638078,0.014324935400514483,0.014324935400514483,0.999999999988726,0.06871032714842702
22,0.03197646835562641,0.016248011185571856,0.016248011185571856,0.9999999999901088,0.06597900390623994
23,0.04877069434147999,0.024994855397080244,0.02505275516841591,0.9153623188352733,0.06015014648436583
24,0.051297453147517526,0.02632390111583344,0.02633079994449777,0.990144927530492,0.036010742187494504
25,0.22286905778135396,0.12540947461255428,0.12551621953908682,0.993264313332926,0.1526336669921642
26,0.06254961580515217,0.03228449942017282,0.03235955056179274,0.9329758713095042,0.04499816894530564
27,0.03743975903613894,0.019076998634065555,0.01908256317356703,0.9849445324803096,0.024749755859371225
28,0.09502714841645594,0.049883728441307104,0.057062105146477804,0.2839415387441089,0.1022491455077969
29,0.20399447663242504,0.11358232142289186,0.11872607665410882,0.7238836128503496,0.1467742919921651
30,0.00013131976362440394,6.566419331537434e-05,6.874151471926502e-05,0.0014646649578855195,0.07055664062498923
31,0.1241023859161275,0.06615626832956717,0.06616035318451635,0.9990675990652703,0.07684326171873827
32,0.07380099589410784,0.038314315258596535,0.038403491226468155,0.9428571428529338,0.19111633300778336
33,0.10010060362171558,0.052687317977222405,0.05268813854970523,0.9997044917228142,0.07186889648436404
34,0.10318622962825746,0.054399768306213195,0.054402394284602175,0.9991134751743526,0.10324096679685925
35,0.08375101050928438,0.04370570367869731,0.04371375088224695,0.995805662352339,0.048812866210930055
